Quantity,Reference Designator,Model
1,R1D,"523 ohm, 0603, 1%"
1,R2D,"287 ohm, 0603, 1%"
6,"R3D, R3C, R3A, R3B, R5M, JP1","0 ohm, 0603"
1,R5D,"5.62k ohm, 0603, 1%"
1,R1C,"499 ohm, 0603, 1%"
1,R2C,"274 ohm, 0603, 1%"
1,R5C,"5.36k ohm, 0603, 1%"
2,"R1A, R1B","1.3k ohm, 0603, 1%"
2,"R2A, R2B","80.6 ohm, 0603, 1%"
2,"R5A, R5B","13.7k ohm, 0603, 1%"
2,"R1M, R2M","10k ohm, 0603, 1%"
1,R3M,"4.99k ohm, 0603, 1%"
2,"C1D, C2D","5.6nF, 0603, C0G, 5%"
7,"C9D, C9C, C9A, C9B, C3M, C4M, C9M","100nF, 0603, X7R, 20%"
2,"C1C, C2C","5.1nF, 0603, C0G, 5%"
2,"C1A, C2A","4.3nF, 0603, C0G, 5%"
2,"C1B, C2B","6.2nF, 0603, C0G, 5%"
3,"C1M, C2M, C101M","10µF, 6032, tantalum, 20%"
4,"U1D, U1C, U1A, U1B","AD8656, SOIC"
1,U1M,"AD8031, SOIC"
4,"J1M, J2M, J3M, J4M","67996-206HLF, 2x3 0.1"" header"
4,"J1D, J1C, J1A, J1B","BCS-103-L-D-TE, 2x3 0.1"" socket"
2,"J5M, J6M","142-0701-851, SMA Jack, board edge female"
3,"+VS, -VS, GND","68000-101HLF, Test pin"
